Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2013-06-17T07:00:00.000Z,27.22,27.44,25.74,26.02,-4.01,-3.95,254980176.00
2013-06-24T07:00:00.000Z,25.9,27.13,25.76,26.72,2.7,2.76,268259741.00
2013-07-01T07:00:00.000Z,26.72,27.1,26.53,27.04,1.21,1.27,89149934.00
2013-07-08T07:00:00.000Z,26.89,27.18,26.61,27.03,-0.0558,0.0024,119688396.00
2013-07-15T07:00:00.000Z,26.93,27.41,26.61,27.03,,0.0583,122323526.00
2013-07-22T07:00:00.000Z,27,27.13,26.36,26.87,-0.5864,-0.5281,144886662.00
2013-07-29T07:00:00.000Z,26.9,27.22,26.58,27,0.4775,0.5358,128836314.00
2013-08-05T07:00:00.000Z,26.95,27.06,26.23,26.27,-2.71,-2.65,100481544.00
2013-08-12T07:00:00.000Z,26.23,26.41,25.59,25.8,-1.78,-1.72,121846251.00
2013-08-19T07:00:00.000Z,25.74,25.91,25.05,25.88,0.3221,0.3804,150347741.00
2013-08-26T07:00:00.000Z,25.9,25.97,25.31,25.53,-1.34,-1.28,121738346.00
2013-09-02T07:00:00.000Z,25.67,25.75,25.07,25.22,-1.24,-1.18,117961671.00
2013-09-09T07:00:00.000Z,25.26,26.21,25.1,25.9,2.72,2.78,141305481.00
2013-09-16T07:00:00.000Z,26.09,26.42,25.81,25.9,-0.0147,0.0436,144436198.00
2013-09-23T07:00:00.000Z,25.96,25.99,25.44,25.65,-0.9761,-0.9178,121994660.00
2013-09-30T07:00:00.000Z,25.5,25.84,25.36,25.47,-0.6769,-0.6186,200406043.00
2013-10-07T07:00:00.000Z,25.42,25.85,24.98,25.81,1.33,1.39,234598044.00
2013-10-14T07:00:00.000Z,25.65,26.33,25.44,26.12,1.2,1.26,140905853.00
2013-10-21T07:00:00.000Z,26.43,26.7,25.84,26.56,1.68,1.73,180031922.00
2013-10-28T07:00:00.000Z,26.62,27.78,26.6,27.35,2.98,3.04,213620964.00
2013-11-04T08:00:00.000Z,27.51,27.56,26.09,26.55,-2.95,-2.89,177015604.00
2013-11-11T08:00:00.000Z,26.53,26.78,26.3,26.74,0.7391,0.7974,114137156.00
2013-11-18T08:00:00.000Z,26.77,27.12,26.45,26.73,-0.028,0.0302,111404075.00
2013-11-25T08:00:00.000Z,26.76,26.83,26.56,26.58,-0.5929,-0.5346,64927536.00
2013-12-02T08:00:00.000Z,26.55,26.58,25.81,26.06,-1.93,-1.87,149892585.00
2013-12-09T08:00:00.000Z,26.05,26.35,25.36,25.55,-1.97,-1.91,146679461.00
2013-12-16T08:00:00.000Z,25.71,26.13,25.38,25.89,1.33,1.39,165273736.00
2013-12-23T08:00:00.000Z,26.01,26.61,25.98,26.55,2.57,2.62,70291391.00
2013-12-30T08:00:00.000Z,26.44,26.64,26.12,26.27,-1.08,-1.02,103011004.00
2014-01-06T08:00:00.000Z,26.42,26.53,25.29,25.38,-3.39,-3.33,193205379.00
2014-01-13T08:00:00.000Z,25.35,25.72,25.03,25.44,0.238,0.2963,156730590.00
2014-01-20T08:00:00.000Z,25.54,25.88,25.02,25.22,-0.8311,-0.7728,144325146.00
2014-01-27T08:00:00.000Z,25.31,25.52,24.16,25.15,-0.2993,-0.241,272149666.00
2014-02-03T08:00:00.000Z,25.15,25.15,23.96,24.38,-3.06,-3,276305180.00
2014-02-10T08:00:00.000Z,24.49,25.29,24.32,25.02,2.63,2.69,145521932.00
2014-02-17T08:00:00.000Z,25.08,25.19,24.61,24.76,-1.06,-0.9972,108069706.00
2014-02-24T08:00:00.000Z,24.78,24.81,23.99,24.1,-2.65,-2.59,277918983.00
2014-03-03T08:00:00.000Z,24,24.6,23.97,24.56,1.91,1.97,171998423.00
2014-03-10T07:00:00.000Z,24.36,24.65,24.26,24.52,-0.1535,-0.0952,152065145.00
2014-03-17T07:00:00.000Z,24.67,26.27,24.55,25.89,5.57,5.63,258373168.00
2014-03-24T07:00:00.000Z,25.97,26.55,25.84,26.47,2.24,2.3,243696820.00
2014-03-31T07:00:00.000Z,26.64,27.08,26.15,26.83,1.37,1.43,188273785.00
2014-04-07T07:00:00.000Z,26.82,27.01,26.22,26.57,-0.9846,-0.9263,215213722.00
2014-04-14T07:00:00.000Z,26.63,27.35,26.46,27.2,2.39,2.44,121193875.00
2014-04-21T07:00:00.000Z,27.23,27.48,25.9,26.03,-4.3,-4.24,223914634.00
2014-04-28T07:00:00.000Z,26.17,27.17,26.09,26.89,3.31,3.36,154621719.00
2014-05-05T07:00:00.000Z,26.85,27.82,26.75,27.5,2.27,2.33,144663144.00
2014-05-12T07:00:00.000Z,27.72,27.77,26.85,27.73,0.8235,0.8818,167974077.00
2014-05-19T07:00:00.000Z,27.16,27.74,26.49,26.66,-3.87,-3.81,246007017.00
2014-05-26T07:00:00.000Z,26.64,26.82,26.42,26.77,0.4246,0.4829,97103923.00
2014-06-02T07:00:00.000Z,26.79,26.87,26.27,26.43,-1.27,-1.21,138833470.00
2014-06-09T07:00:00.000Z,26.45,26.53,26.13,26.44,0.0284,0.0867,120207475.00
2014-06-16T07:00:00.000Z,26.39,26.98,26.34,26.71,1.03,1.09,132782422.00
2014-06-23T07:00:00.000Z,26.85,26.85,26.49,26.73,0.0565,0.1148,116175778.00
2014-06-30T07:00:00.000Z,26.72,27.07,26.53,27.05,1.21,1.27,88521179.00
2014-07-07T07:00:00.000Z,27.1,27.25,26.7,26.99,-0.2233,-0.165,108370825.00
